,text,category,instruction
0,what alarms do i have set right now,alarm_query,"Below is an instruction that describes a task, along with an input, intent descriptions and examples to provide further context. Write an output that appropriately completes the request.

### Instruction:
You will be given some input text and you need to classify the intent of the text. The possible intents are: email_addcontact,transport_traffic,play_radio,transport_query,email_query,email_sendemail,play_music,iot_hue_lightdim,takeaway_order,music_settings,general_negate,datetime_query,general_praise,music_likeness,qa_factoid,qa_maths,iot_wemo_off,iot_hue_lightchange,recommendation_movies,play_podcasts,weather_query,general_affirm,alarm_set,qa_definition,calendar_query,lists_query,qa_stock,cooking_recipe,social_query,audio_volume_down,calendar_remove,alarm_query,audio_volume_up,recommendation_locations,iot_wemo_on,takeaway_query,play_audiobook,datetime_convert,lists_createoradd,iot_coffee,news_query,transport_taxi,general_repeat,general_explain,calendar_set,general_confirm,lists_remove,general_commandstop,social_post,recommendation_events,audio_volume_mute,email_querycontact,iot_hue_lightup,iot_hue_lightoff,qa_currency,general_dontcare,general_joke,iot_cleaning,play_game,transport_ticket,iot_hue_lighton,alarm_remove,general_quirky,music_query

### Input: 
what alarms do i have set right now

### Intent Descriptions: 
INTENT: calendar_set DESCRIPTION: an intent related to setting or scheduling events, appointments, reminders, or tasks on a calendar
INTENT: datetime_convert DESCRIPTION: an intent related to converting dates and times from one format or timezone to another

### Examples: 
INPUT: twenty minus ten. INTENT: qa_maths
INPUT: turn on flappy bird. INTENT: play_game

### Intent: 
alarm_query"
1,checkout today alarm of meeting,alarm_query,"Below is an instruction that describes a task, along with an input, intent descriptions and examples to provide further context. Write an output that appropriately completes the request.

### Instruction:
You will be given some input text and you need to classify the intent of the text. The possible intents are: transport_query,play_podcasts,general_joke,qa_definition,lists_createoradd,social_post,general_affirm,audio_volume_down,qa_factoid,iot_hue_lightchange,transport_ticket,music_settings,qa_stock,general_explain,iot_wemo_on,iot_cleaning,qa_maths,music_query,datetime_convert,email_query,general_praise,datetime_query,iot_hue_lightup,general_negate,music_likeness,general_dontcare,calendar_set,lists_remove,iot_hue_lightoff,recommendation_movies,play_music,takeaway_order,alarm_set,social_query,news_query,calendar_remove,recommendation_events,iot_coffee,audio_volume_up,weather_query,alarm_remove,iot_hue_lighton,general_confirm,play_radio,calendar_query,transport_taxi,email_addcontact,audio_volume_mute,lists_query,qa_currency,iot_hue_lightdim,play_game,alarm_query,email_sendemail,iot_wemo_off,cooking_recipe,transport_traffic,takeaway_query,email_querycontact,play_audiobook,recommendation_locations,general_repeat,general_quirky,general_commandstop

### Input: 
checkout today alarm of meeting

### Intent Descriptions: 
INTENT: music_query DESCRIPTION: an intent related to a user's action or request seeking information or assistance related to music
INTENT: iot_coffee DESCRIPTION: an intent that pertains to an action or command related to an Internet of Things (IoT) enabled coffee machine

### Examples: 
INPUT: go to youtube and play me the best wedding songs collection. INTENT: play_music
INPUT: define god. INTENT: qa_definition

### Intent: 
alarm_query"
2,report alarm settings,alarm_query,"Below is an instruction that describes a task, along with an input, intent descriptions and examples to provide further context. Write an output that appropriately completes the request.

### Instruction:
Select the correct intent of the given input text from a list of options. The possible intents are: takeaway_query,lists_query,general_quirky,alarm_remove,social_query,play_game,calendar_remove,cooking_recipe,general_praise,iot_hue_lightdim,qa_factoid,takeaway_order,iot_hue_lighton,datetime_convert,lists_createoradd,recommendation_events,general_joke,music_query,music_likeness,email_querycontact,qa_stock,general_explain,play_audiobook,email_addcontact,iot_coffee,iot_hue_lightoff,qa_maths,social_post,transport_query,email_query,audio_volume_down,play_music,calendar_set,weather_query,transport_ticket,general_negate,iot_hue_lightup,lists_remove,calendar_query,audio_volume_up,alarm_query,general_affirm,transport_traffic,news_query,recommendation_locations,general_confirm,general_dontcare,transport_taxi,music_settings,iot_wemo_on,audio_volume_mute,general_repeat,email_sendemail,alarm_set,iot_wemo_off,datetime_query,iot_hue_lightchange,play_podcasts,qa_definition,qa_currency,play_radio,general_commandstop,recommendation_movies,iot_cleaning

### Input: 
report alarm settings

### Intent Descriptions: 
INTENT: iot_coffee DESCRIPTION: an intent that pertains to an action or command related to an Internet of Things (IoT) enabled coffee machine
INTENT: music_query DESCRIPTION: an intent related to a user's action or request seeking information or assistance related to music

### Examples: 
INPUT: give me the opening stock price of infosys technologies today. INTENT: qa_stock
INPUT: twenty minus ten. INTENT: qa_maths

### Intent: 
alarm_query"
3,see see for me the alarms that you have set tomorrow morning,alarm_query,"Below is an instruction that describes a task, along with an input, intent descriptions and examples to provide further context. Write an output that appropriately completes the request.

### Instruction:
You will be given some input text and you need to classify the intent of the text. The possible intents are: general_quirky,music_likeness,general_dontcare,datetime_convert,transport_ticket,cooking_recipe,general_explain,play_radio,calendar_query,iot_coffee,alarm_query,calendar_set,music_settings,datetime_query,music_query,play_music,alarm_remove,iot_hue_lighton,audio_volume_mute,play_game,iot_hue_lightup,general_commandstop,recommendation_events,iot_hue_lightdim,lists_query,audio_volume_up,email_querycontact,takeaway_query,calendar_remove,transport_traffic,lists_remove,play_audiobook,qa_definition,general_repeat,recommendation_movies,qa_stock,news_query,general_negate,alarm_set,general_praise,social_query,general_joke,qa_maths,general_confirm,qa_currency,social_post,iot_hue_lightchange,qa_factoid,takeaway_order,recommendation_locations,iot_hue_lightoff,email_query,iot_wemo_off,transport_query,weather_query,transport_taxi,audio_volume_down,general_affirm,email_addcontact,lists_createoradd,iot_cleaning,play_podcasts,iot_wemo_on,email_sendemail

### Input: 
see see for me the alarms that you have set tomorrow morning

### Intent Descriptions: 
INTENT: cooking_recipe DESCRIPTION: an intent related to outlining the steps, purpose or goal behind creating a particular dish
INTENT: music_query DESCRIPTION: an intent related to a user's action or request seeking information or assistance related to music

### Examples: 
INPUT: turn on flappy bird. INTENT: play_game
INPUT: can i order takeaway from spanish place. INTENT: takeaway_order

### Intent: 
alarm_query"
4,is there an alarm for ten am,alarm_query,"Below is an instruction that describes a task, along with an input, intent descriptions and examples to provide further context. Write an output that appropriately completes the request.

### Instruction:
Given an input, classify the intent of the input text. The possible intents are: play_radio,iot_hue_lightdim,transport_traffic,audio_volume_up,transport_ticket,music_likeness,email_query,general_explain,transport_query,music_settings,social_query,qa_definition,general_confirm,qa_maths,play_audiobook,calendar_set,play_game,takeaway_query,play_music,general_affirm,general_quirky,news_query,iot_coffee,recommendation_locations,qa_stock,alarm_set,email_querycontact,play_podcasts,alarm_query,cooking_recipe,general_repeat,datetime_query,iot_hue_lightchange,email_addcontact,takeaway_order,weather_query,qa_factoid,iot_wemo_on,datetime_convert,calendar_query,iot_wemo_off,recommendation_events,music_query,alarm_remove,general_negate,email_sendemail,lists_query,qa_currency,calendar_remove,recommendation_movies,general_joke,audio_volume_down,social_post,general_praise,transport_taxi,general_commandstop,lists_remove,iot_hue_lightoff,lists_createoradd,general_dontcare,iot_hue_lightup,iot_hue_lighton,iot_cleaning,audio_volume_mute

### Input: 
is there an alarm for ten am

### Intent Descriptions: 
INTENT: music_query DESCRIPTION: an intent related to a user's action or request seeking information or assistance related to music
INTENT: alarm_remove DESCRIPTION: an intent or action related to removing alarms

### Examples: 
INPUT: go to youtube and play me the best wedding songs collection. INTENT: play_music
INPUT: please book me a taxi uber. INTENT: transport_taxi

### Intent: 
alarm_query"
5,confirm the alarm time,alarm_query,"Below is an instruction that describes a task, along with an input, intent descriptions and examples to provide further context. Write an output that appropriately completes the request.

### Instruction:
You will be given some input text and you need to classify the intent of the text. The possible intents are: lists_query,general_repeat,iot_hue_lighton,transport_taxi,general_joke,general_confirm,qa_currency,iot_hue_lightoff,qa_factoid,general_praise,music_query,iot_hue_lightup,transport_query,play_podcasts,general_dontcare,audio_volume_up,cooking_recipe,transport_ticket,email_querycontact,news_query,iot_coffee,takeaway_order,email_sendemail,datetime_query,play_game,social_query,takeaway_query,general_negate,general_explain,recommendation_movies,recommendation_locations,social_post,audio_volume_mute,email_query,lists_createoradd,general_commandstop,qa_maths,iot_hue_lightchange,music_likeness,general_quirky,qa_definition,qa_stock,music_settings,calendar_remove,general_affirm,weather_query,play_radio,datetime_convert,calendar_set,lists_remove,audio_volume_down,iot_cleaning,iot_wemo_on,transport_traffic,recommendation_events,calendar_query,alarm_set,iot_wemo_off,play_audiobook,play_music,iot_hue_lightdim,email_addcontact,alarm_query,alarm_remove

### Input: 
confirm the alarm time

### Intent Descriptions: 
INTENT: general_confirm DESCRIPTION: an intent related to a user's action or request to confirm a previous statement, action, or decision
INTENT: qa_currency DESCRIPTION: an intent related to a question-and-answer (QA) scenario related to currency

### Examples: 
INPUT: what alarms do i have set right now. INTENT: alarm_query
INPUT: please book me a taxi uber. INTENT: transport_taxi

### Intent: 
alarm_query"
6,show my alarms,alarm_query,"Below is an instruction that describes a task, along with an input, intent descriptions and examples to provide further context. Write an output that appropriately completes the request.

### Instruction:
Select the correct intent of the given input text from a list of options. The possible intents are: calendar_set,recommendation_movies,lists_remove,audio_volume_mute,takeaway_order,iot_wemo_off,email_querycontact,datetime_query,iot_hue_lightdim,qa_stock,general_repeat,recommendation_events,takeaway_query,play_game,general_commandstop,general_negate,news_query,qa_currency,transport_traffic,social_query,iot_hue_lightchange,iot_cleaning,datetime_convert,lists_query,qa_factoid,music_likeness,play_radio,alarm_remove,iot_wemo_on,calendar_remove,transport_ticket,music_settings,play_podcasts,audio_volume_up,general_explain,transport_query,qa_maths,alarm_set,qa_definition,transport_taxi,recommendation_locations,calendar_query,general_affirm,iot_hue_lightup,iot_hue_lighton,weather_query,alarm_query,audio_volume_down,play_music,iot_coffee,email_addcontact,email_query,cooking_recipe,general_confirm,general_joke,email_sendemail,play_audiobook,music_query,lists_createoradd,general_dontcare,social_post,general_praise,iot_hue_lightoff,general_quirky

### Input: 
show my alarms

### Intent Descriptions: 
INTENT: music_query DESCRIPTION: an intent related to a user's action or request seeking information or assistance related to music
INTENT: iot_coffee DESCRIPTION: an intent that pertains to an action or command related to an Internet of Things (IoT) enabled coffee machine

### Examples: 
INPUT: can i order takeaway from spanish place. INTENT: takeaway_order
INPUT: go to youtube and play me the best wedding songs collection. INTENT: play_music

### Intent: 
alarm_query"
7,at what time have you set alarm for me,alarm_query,"Below is an instruction that describes a task, along with an input, intent descriptions and examples to provide further context. Write an output that appropriately completes the request.

### Instruction:
Select the correct intent of the given input text from a list of options. The possible intents are: iot_hue_lightchange,general_quirky,general_praise,music_settings,lists_query,iot_hue_lightoff,general_joke,qa_maths,audio_volume_up,recommendation_movies,email_query,takeaway_order,datetime_convert,general_confirm,calendar_set,social_post,general_repeat,transport_ticket,datetime_query,alarm_query,alarm_remove,calendar_query,music_likeness,iot_hue_lightdim,lists_createoradd,qa_factoid,qa_currency,audio_volume_mute,play_music,iot_cleaning,play_audiobook,play_podcasts,general_dontcare,audio_volume_down,general_negate,general_explain,calendar_remove,play_game,transport_traffic,cooking_recipe,general_affirm,qa_definition,recommendation_locations,transport_taxi,general_commandstop,lists_remove,transport_query,iot_hue_lighton,iot_coffee,music_query,recommendation_events,news_query,email_addcontact,social_query,email_querycontact,takeaway_query,alarm_set,iot_hue_lightup,qa_stock,iot_wemo_on,play_radio,weather_query,iot_wemo_off,email_sendemail

### Input: 
at what time have you set alarm for me

### Intent Descriptions: 
INTENT: calendar_set DESCRIPTION: an intent related to setting or scheduling events, appointments, reminders, or tasks on a calendar
INTENT: cooking_recipe DESCRIPTION: an intent related to outlining the steps, purpose or goal behind creating a particular dish

### Examples: 
INPUT: please book me a taxi uber. INTENT: transport_taxi
INPUT: turn on flappy bird. INTENT: play_game

### Intent: 
alarm_query"
8,please list active alarms,alarm_query,"Below is an instruction that describes a task, along with an input, intent descriptions and examples to provide further context. Write an output that appropriately completes the request.

### Instruction:
You will be given some input text and you need to classify the intent of the text. The possible intents are: calendar_remove,datetime_query,iot_cleaning,general_dontcare,email_query,email_sendemail,iot_hue_lighton,qa_currency,recommendation_movies,alarm_set,play_radio,email_querycontact,iot_wemo_off,transport_traffic,alarm_remove,iot_wemo_on,play_game,recommendation_events,general_quirky,alarm_query,audio_volume_down,general_confirm,iot_hue_lightoff,takeaway_query,transport_query,audio_volume_up,qa_factoid,email_addcontact,play_audiobook,qa_maths,weather_query,play_podcasts,general_praise,general_negate,play_music,lists_remove,recommendation_locations,qa_definition,social_post,transport_taxi,general_explain,calendar_set,datetime_convert,calendar_query,iot_coffee,lists_createoradd,iot_hue_lightchange,social_query,general_commandstop,music_query,iot_hue_lightup,iot_hue_lightdim,general_repeat,qa_stock,music_settings,general_joke,audio_volume_mute,cooking_recipe,news_query,takeaway_order,music_likeness,lists_query,general_affirm,transport_ticket

### Input: 
please list active alarms

### Intent Descriptions: 
INTENT: alarm_remove DESCRIPTION: an intent or action related to removing alarms
INTENT: cooking_recipe DESCRIPTION: an intent related to outlining the steps, purpose or goal behind creating a particular dish

### Examples: 
INPUT: twenty minus ten. INTENT: qa_maths
INPUT: can i order takeaway from spanish place. INTENT: takeaway_order

### Intent: 
alarm_query"
9,please tell me about upcoming alarms,alarm_query,"Below is an instruction that describes a task, along with an input, intent descriptions and examples to provide further context. Write an output that appropriately completes the request.

### Instruction:
Select the correct intent of the given input text from a list of options. The possible intents are: recommendation_locations,qa_maths,iot_cleaning,email_querycontact,play_game,play_radio,alarm_query,lists_createoradd,general_dontcare,general_quirky,general_confirm,lists_remove,qa_currency,general_negate,transport_taxi,general_affirm,alarm_set,music_query,datetime_convert,general_explain,email_sendemail,iot_coffee,recommendation_events,general_repeat,datetime_query,audio_volume_down,calendar_set,calendar_remove,iot_hue_lightchange,lists_query,qa_definition,iot_hue_lightdim,transport_query,play_podcasts,audio_volume_mute,iot_hue_lightup,general_joke,calendar_query,audio_volume_up,social_post,weather_query,play_audiobook,general_praise,iot_hue_lightoff,email_addcontact,iot_wemo_off,takeaway_order,play_music,iot_wemo_on,email_query,cooking_recipe,takeaway_query,general_commandstop,news_query,transport_ticket,transport_traffic,social_query,music_likeness,qa_stock,recommendation_movies,qa_factoid,iot_hue_lighton,alarm_remove,music_settings

### Input: 
please tell me about upcoming alarms

### Intent Descriptions: 
INTENT: cooking_recipe DESCRIPTION: an intent related to outlining the steps, purpose or goal behind creating a particular dish
INTENT: qa_currency DESCRIPTION: an intent related to a question-and-answer (QA) scenario related to currency

### Examples: 
INPUT: can i order takeaway from spanish place. INTENT: takeaway_order
INPUT: give me the opening stock price of infosys technologies today. INTENT: qa_stock

### Intent: 
alarm_query"
